Boudin blanc;10;18;8,8;0,5;25;0,9;0
Pate de campagne;14,9;24,6;2,5;0,7;10;8,4;4
Pate de foie;12,2;28,3;3,2;0,7;10;7,5;0
Salami;19,8;29,7;0,3;0,6;15;1;0
Fletan, noir;13,2;10;0;0;5;0;0
Hareng;18;16;0;0;63;0,6;0
Maquereau;18,7;11,9;0;0;12;1,2;0
Sardines;19,4;12,2;0;0;20;1,2;0
Saumon;18,4;16,5;0;0;5;0,3;1
Anchois;20,1;2,3;0;0;82;4,9;0
Cabillaud;16,4;0,6;0;0;16;0,4;0
Colin;16,8;0,6;0;0;9;0,2;0
Coquille St Jaques;15;0,9;3;0;26;1,3;3
Crabe;18,3;0,6;0;0;46;0,6;7
Dorade;18,7;2,8;0;0;141;0,8;1
Ecrevisse;16;0,7;0;0;97;1,8;1
Eglefin;18,2;0,2;0;0;27;0,8;0
Espadon;18,1;4,9;0;0;4;0,4;1
Fletan, blanc;20,1;0,4;0;0;16;0,6;0
Sebaste;18,8;1,6;0;0;12,5;0,3;0
Homard;18,2;1,9;0;0;61;0,6;0
Huitre;10,2;1,8;4,2;0;70;5,8;0
Langoustine;19,6;1,3;0,8;0;48;2;3
Lieu noir;17,2;0,5;0;0;14;1;0
Limande;17,4;1,1;0;0;20;0,8;1
Lotte;15,5;0,6;0;0;19;1,5;1
Loup de mer;17,6;0,6;0;0;6;0,9;0
Merlan;17,4;0,3;0;0;25;0,3;0
Plie;13,4;1;0;0;39;0,9;0
Sole;17,5;0,5;0;0;20;0,1;0
Surimi;7,4;0,5;9,8;0;16;0,4;0
Thon;27,4;0,5;0;0;12;0,8;0
Truite;18,4;2,7;0;0;16;0,2;1
Turbot;16,7;2,6;0;0;17;0,5;0
Anchois a l'huile ;20;10;0;0;138;2,8;0
Maquereau a l'huile ;20,5;16,6;0;0,2;21;1,1;0
Maquereau sauce tomate ;15;10,6;3;1;21;0,9;0
Sardines sauce tomate;18;12;0,5;0;766;5,6;0
Sardines a l'huile;24;12,3;0;0;63;1,8;0
Thon a l'huile;26;11;0;0;5;0,9;0
Oeufs de poule ;13;11;0;0;91;2,9;0
